name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brussels,Belgium",2023-01-01,16.1,10.4,13,16.1,10.4,13,8.2,74,2.142,100,12.5,rain,0,0,78.4,34.6,198.6,1013.1,93.8,25.7,21.5,2,2,10,2023-01-01T08:45:09,2023-01-01T16:47:08,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5287,06459099999,06439099999,D0152,06450099999,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-02,13.6,6.6,9.9,13.6,4.3,8.5,8.6,91.9,7.262,100,29.17,rain,0,0,57.3,29.3,219.8,1017.2,81.1,27,14,1.2,1,10,2023-01-02T08:45:04,2023-01-02T16:48:11,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-03,8.9,3.8,6.8,5.8,0.7,3.8,5.4,91.2,0.561,100,12.5,rain,0,0,57.3,29.4,191,1026.2,69.4,29.5,24.5,2.2,2,10,2023-01-03T08:44:55,2023-01-03T16:49:16,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-04,12.4,8.6,11.2,12.4,4.8,10.4,9.6,90.2,3.316,100,25,rain,0,0,68.2,40.1,220.1,1018.6,97.2,16.1,11.8,0.9,1,10,2023-01-04T08:44:43,2023-01-04T16:50:24,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-05,11.4,9.8,10.7,11.4,7.5,10.5,9.1,89.8,1.269,100,12.5,rain,0,0,53.7,22.2,239.5,1021.2,91.8,16.4,21.5,1.7,1,10,2023-01-05T08:44:27,2023-01-05T16:51:35,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-06,11.2,10.1,10.7,11.2,10.1,10.7,8.9,89.1,0.321,100,8.33,rain,0,0,50.3,28.2,211.5,1018.6,91.2,29.5,13.9,1.2,1,10,2023-01-06T08:44:08,2023-01-06T16:52:47,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-07,11.5,9.1,10.2,11.5,5.5,9.2,6.9,80.6,0.605,100,12.5,rain,0,0,61.1,29.8,184.1,1010.5,82.7,32.6,43.8,3.8,2,10,2023-01-07T08:43:47,2023-01-07T16:54:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-08,10.2,6.3,8.4,10.2,3,5.6,5.8,83.9,6.785,100,20.83,rain,0,0,60.8,25.8,195.6,1000.3,76,28.9,41.6,3.5,3,10,2023-01-08T08:43:22,2023-01-08T16:55:20,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-09,7.7,4.7,6.5,4.9,2.2,3,4.5,87.8,1.861,100,8.33,rain,0,0,62.7,33.5,227.2,1001,78.4,25.8,20.8,1.9,1,10,2023-01-09T08:42:54,2023-01-09T16:56:39,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-10,10.2,3.2,5.9,10.2,-0.9,2.4,4.3,89.7,3.218,100,12.5,rain,0,0,64.5,33,197,1015.3,77.4,21.3,18.9,1.6,1,10,2023-01-10T08:42:22,2023-01-10T16:58:00,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-11,11.4,8.8,10,11.4,4.6,8.5,7.7,85.7,5.386,100,16.67,rain,0,0,68.1,35.9,223.3,1011.7,81.1,25.8,41,3.6,2,10,2023-01-11T08:41:48,2023-01-11T16:59:24,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06450099999,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-12,10.8,8.2,9.6,10.8,4.2,7.3,8.4,91.9,13.018,100,33.33,rain,0,0,82.5,41,217.2,1008.8,97.5,9.4,10.5,1,1,10,2023-01-12T08:41:11,2023-01-12T17:00:49,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-13,9.7,7.2,8.5,7.4,3.3,5.2,4.9,78.2,1.223,100,16.67,rain,0,0,68,30.2,235.6,1010.3,66.6,22.8,19.2,1.7,1,10,2023-01-13T08:40:30,2023-01-13T17:02:16,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-14,11.4,6.1,8.7,11.4,2.5,6.3,7.2,90.1,8.923,100,29.17,rain,0,0,82.4,41.6,206.4,1006.6,95.7,16.6,8.4,0.7,0,10,2023-01-14T08:39:47,2023-01-14T17:03:44,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-15,7.7,4.9,6,5.5,0,1.9,3.1,82,2.852,100,20.83,rain,0,0,74.8,33.7,220.5,1001.9,86.4,35.4,28.5,2.3,2,10,2023-01-15T08:39:01,2023-01-15T17:05:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-16,5.6,2.6,4.4,3.1,-2,0.3,3.1,91.6,14.192,100,33.33,"rain,snow",0,0,74.8,30.5,197.1,984.6,88.9,21.2,19.1,1.7,1,10,2023-01-16T08:38:12,2023-01-16T17:06:46,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-17,4.3,-1.8,0.5,4.3,-4.4,-1.3,-1.4,87.7,0.785,100,12.5,"rain,snow",0,0,57.7,15.9,231.5,988.8,44.1,27.7,53.5,4.6,3,10,2023-01-17T08:37:20,2023-01-17T17:08:20,0.85,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-18,3.6,-2.8,0.2,0,-6.2,-3.2,-1.6,88.5,0.082,100,4.17,rain,0,0,35.7,18.7,221.1,997.3,58.7,27.6,58.8,5,3,10,2023-01-18T08:36:26,2023-01-18T17:09:54,0.89,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-01-19,2.6,-0.3,0.8,0.1,-4.3,-2.7,0.2,95.1,0.107,100,8.33,"rain,snow",0.2,0,35.9,15.7,228.3,1007.1,68.5,12.9,31.9,2.8,2,10,2023-01-19T08:35:28,2023-01-19T17:11:30,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"06459099999,06439099999,D0152,06447099999,06458099999,06451099999"
