route_iata_code,Month,total_flights,departures,arrivals,landed,active,scheduled,total_dep_delay,total_dep_delay_15,total_on_time_15,short_delay,medium_delay,long_delay,total_calc_sft,total_calc_aft,total_flight_distance_km,commercial,private,cargo,morning_dep,afternoon_dep,evening_dep,morning_arr,afternoon_arr,evening_arr,avg_tavg_dep,total_prcp_dep,avg_snow_dep,avg_wdir_dep,avg_wspd_dep,avg_wpgt_dep,avg_pres_dep,total_tsun_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers
BRU-ACC,2023-01,42,21,21,18,21,3,1529.0,36,2,6,31,5,17010.0,16586.0,212318.4,42,0,0,38,4,0,0,32,10,6.2023809523809526,158.4,0.0,192.33333333333334,20.492857142857144,42.99761904761905,1015.1880952380952,0.0,28.604761904761908,9.5,0.0,219.4047619047619,12.921428571428573,0.0,1010.6166666666667,0.0,10006
BRU-ACC,2023-02,35,19,16,14,19,2,1206.0,25,7,10,21,4,14203.0,13923.0,176932.0,33,0,2,33,2,0,0,24,11,5.78,18.9,0.0,221.68571428571428,13.80857142857143,31.84857142857143,1025.4657142857143,0.0,29.265714285714285,10.5,0.0,199.25714285714287,13.96,0.0,1009.9,0.0,8645
BRU-ACC,2023-03,46,22,24,17,22,7,1544.0,37,8,9,31,6,18738.0,18473.0,232539.19999999998,44,0,2,42,4,0,0,33,13,7.8304347826086955,160.0,0.0,194.95652173913044,17.217391304347824,40.3,1010.0673913043478,0.0,28.656521739130437,55.6,0.0,220.30434782608697,13.467391304347826,0.0,1010.054347826087,0.0,10371
BRU-ACC,2023-04,37,18,19,15,18,4,1380.0,32,5,5,29,3,15170.0,14824.0,187042.4,37,0,0,36,1,0,0,34,3,8.63783783783784,92.6,0.0,158.48648648648648,11.943243243243245,33.0918918918919,1015.5756756756757,0.0,29.06756756756757,62.9,0.0,224.1891891891892,14.245945945945946,0.0,1009.3918918918919,0.0,11042
BRU-ACC,2023-05,39,18,21,17,18,2,1624.0,37,2,2,30,7,15990.0,15571.0,197152.8,39,0,0,37,2,0,0,33,6,13.025641025641026,55.4,0.0,149.2051282051282,10.158974358974358,29.061538461538465,1021.6025641025641,0.0,28.76923076923077,165.4,0.0,220.6153846153846,11.605128205128205,0.0,1011.3538461538462,0.0,10879
BRU-ACC,2023-06,47,23,24,20,23,4,1675.0,43,4,4,39,4,19270.0,18711.0,237594.4,47,0,0,46,1,0,0,44,3,19.23617021276596,40.5,0.0,141.7659574468085,9.604255319148935,28.56808510638298,1017.804255319149,0.0,26.56808510638298,271.0,0.0,226.06382978723406,14.127659574468085,0.0,1013.3340425531915,0.0,12564
BRU-ACC,2023-07,48,23,25,20,23,5,1915.0,47,1,1,38,9,19680.0,19060.0,242649.59999999998,48,0,0,45,3,0,0,40,8,18.2375,153.1,0.0,237.54166666666666,14.0375,36.49375,1012.9520833333332,0.0,26.427083333333332,165.7,0.0,221.0625,15.366666666666667,0.0,1014.03125,0.0,13293
BRU-ACC,2023-08,51,25,26,20,25,6,2014.0,44,7,7,39,5,20910.0,20530.0,257815.19999999998,51,0,0,49,2,0,0,44,7,18.06470588235294,140.0,0.0,215.80392156862746,11.492156862745098,29.835294117647056,1014.0274509803921,0.0,25.794117647058822,87.4,0.0,216.27450980392157,16.64313725490196,0.0,1013.3627450980392,0.0,13030
BRU-ACC,2023-09,47,23,24,23,23,1,1313.0,41,6,6,38,3,19270.0,18638.0,237594.4,47,0,0,42,5,0,0,18,29,18.593617021276597,103.2,0.0,177.53191489361703,10.327659574468084,27.029787234042555,1016.1255319148936,0.0,26.21276595744681,283.1,0.0,217.95744680851064,15.165957446808509,0.0,1012.4957446808511,0.0,5802
BRU-ACC,2023-10,38,19,19,17,19,2,1610.0,38,0,0,32,6,15590.0,15130.0,192097.6,38,0,0,35,3,0,0,33,5,13.478947368421053,190.20000000000002,0.0,190.31578947368422,14.421052631578947,31.76842105263158,1007.1736842105263,0.0,27.873684210526317,265.8,0.0,222.8421052631579,12.894736842105264,0.0,1011.6157894736842,0.0,10984
BRU-ACC,2023-11,39,19,20,20,19,0,1669.0,39,0,0,34,5,16185.0,15429.0,197152.8,39,0,0,36,3,0,0,28,11,7.928205128205128,204.20000000000002,0.0,211.15384615384616,19.617948717948718,43.59743589743589,1004.6589743589743,0.0,28.58717948717949,97.9,0.0,208.48717948717947,12.864102564102565,0.0,1010.928205128205,0.0,10969
BRU-ACC,2023-12,36,17,19,18,17,1,1443.0,36,0,0,33,3,14940.0,14236.0,181987.19999999998,36,0,0,34,2,0,0,23,13,6.491666666666666,62.3,0.0,217.63888888888889,18.891666666666666,39.608333333333334,1013.4638888888888,0.0,29.216666666666665,10.799999999999999,0.0,200.66666666666666,10.191666666666666,0.0,1011.0,0.0,10038
BRU-ADB,2023-01,14,7,7,6,7,1,372.0,6,8,8,4,2,2800.0,2671.0,31668.0,14,0,0,0,14,0,0,3,11,7.557142857142857,42.6,0.0,202.28571428571428,22.62857142857143,44.72857142857142,1015.1857142857143,0.0,8.185714285714285,112.4,0.0,202.28571428571428,10.700000000000001,30.17142857142857,1018.5428571428572,0.0,1956
BRU-ADB,2023-02,12,6,6,6,6,0,204.0,3,9,9,3,0,2400.0,2242.0,27144.0,12,0,0,0,12,0,0,4,8,6.216666666666666,1.5999999999999999,0.0,218.16666666666666,18.266666666666666,39.199999999999996,1026.0,0.0,8.833333333333334,36.4,0.0,192.0,11.916666666666666,29.633333333333336,1022.3333333333334,0.0,1829
